Airline,Source,Destination,Duration,Total_Stops,Journey_Day,Journey_Month,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Journey_Date,Is_Peak_Hour,Price
Multiple carriers,Delhi,Cochin,840,1,15,5,11,30,1,30,15-05-2019,1,13727
Jet Airways,Mumbai,Hyderabad,85,0,1,5,2,55,4,20,01-05-2019,0,5678
Multiple carriers,Delhi,Cochin,640,1,9,5,10,20,21,0,09-05-2019,1,7670
Jet Airways,Kolkata,Banglore,570,1,18,5,14,5,23,35,18-05-2019,1,10844
Jet Airways,Kolkata,Banglore,1545,1,1,4,16,30,18,15,01-04-2019,1,7064
Multiple carriers,Delhi,Cochin,720,1,3,6,9,0,21,0,03-06-2019,1,8930
Air Asia,Banglore,Delhi,170,0,1,4,4,55,7,45,01-04-2019,0,4282
IndiGo,Banglore,Delhi,170,0,21,6,8,30,11,20,21-06-2019,0,4823
Jet Airways,Delhi,Cochin,1280,1,9,5,7,5,4,25,09-05-2019,0,12373
Jet Airways,Banglore,New Delhi,800,1,9,3,7,0,20,20,09-03-2019,0,11087
Jet Airways,Delhi,Cochin,395,1,3,6,21,50,4,25,03-06-2019,1,16079
IndiGo,Delhi,Cochin,195,0,12,6,5,35,8,50,12-06-2019,0,5601
SpiceJet,Mumbai,Hyderabad,90,0,9,6,5,45,7,15,09-06-2019,0,2753
Jet Airways,Delhi,Cochin,335,1,27,6,22,50,4,25,27-06-2019,0,12898
Multiple carriers,Delhi,Cochin,480,1,6,3,13,0,21,0,06-03-2019,1,15603
IndiGo,Kolkata,Banglore,165,0,12,4,9,35,12,20,12-04-2019,1,4174
IndiGo,Banglore,New Delhi,175,0,24,3,20,0,22,55,24-03-2019,1,6144
Jet Airways,Kolkata,Banglore,590,1,6,5,8,25,18,15,06-05-2019,0,14781
IndiGo,Delhi,Cochin,345,1,15,6,21,50,3,35,15-06-2019,1,6195
Jet Airways,Kolkata,Banglore,1545,1,6,5,6,30,8,15,06-05-2019,0,8586
IndiGo,Banglore,New Delhi,170,0,1,3,22,20,1,10,01-03-2019,0,11934
Air India,Kolkata,Banglore,1345,2,15,5,7,0,5,25,15-05-2019,0,14424
Jet Airways,Delhi,Cochin,715,1,24,6,7,5,19,0,24-06-2019,0,18581
Jet Airways,Kolkata,Banglore,450,1,12,5,21,10,4,40,12-05-2019,1,13941
Jet Airways,Banglore,Delhi,185,0,6,5,18,55,22,0,06-05-2019,1,7229
SpiceJet,Kolkata,Banglore,155,0,15,5,6,55,9,30,15-05-2019,0,3873
Jet Airways,Delhi,Cochin,450,1,12,6,11,30,19,0,12-06-2019,1,14714
Air Asia,Kolkata,Banglore,450,2,24,3,15,25,22,55,24-03-2019,1,11245
IndiGo,Delhi,Cochin,845,1,27,5,11,25,1,30,27-05-2019,1,6104
IndiGo,Delhi,Cochin,885,1,6,3,7,35,22,20,06-03-2019,0,7094
Jet Airways,Kolkata,Banglore,1335,1,24,3,6,30,4,45,24-03-2019,0,10031
Jet Airways,Kolkata,Banglore,375,1,18,5,5,45,12,0,18-05-2019,0,13941
Multiple carriers,Delhi,Cochin,390,1,24,6,19,0,1,30,24-06-2019,1,7198
SpiceJet,Banglore,New Delhi,175,0,24,3,9,35,12,30,24-03-2019,1,3873
Air India,Kolkata,Banglore,150,0,12,3,14,15,16,45,12-03-2019,1,5747
Air India,Mumbai,Hyderabad,75,0,15,6,19,30,20,45,15-06-2019,1,3100
Air India,Kolkata,Banglore,245,1,6,5,9,10,13,15,06-05-2019,1,8996
Multiple carriers,Delhi,Cochin,505,1,15,5,10,35,19,0,15-05-2019,1,9103
Jet Airways,Banglore,New Delhi,890,1,1,3,18,40,9,30,01-03-2019,1,31825
Jet Airways,Kolkata,Banglore,1055,1,15,5,16,30,10,5,15-05-2019,1,14781
Jet Airways,Banglore,Delhi,180,0,18,5,8,20,11,20,18-05-2019,0,7229
IndiGo,Banglore,New Delhi,170,0,1,3,23,30,2,20,01-03-2019,0,10067
Jet Airways,Delhi,Cochin,1125,2,9,4,9,40,4,25,09-04-2019,1,10909
IndiGo,Kolkata,Banglore,155,0,27,4,15,30,18,5,27-04-2019,1,4804
Jet Airways,Mumbai,Hyderabad,85,0,1,6,2,55,4,20,01-06-2019,0,4050
Jet Airways,Kolkata,Banglore,1630,1,15,5,20,25,23,35,15-05-2019,1,14151
SpiceJet,Kolkata,Banglore,155,0,1,6,6,55,9,30,01-06-2019,0,3841
Jet Airways,Kolkata,Banglore,345,1,9,5,14,5,19,50,09-05-2019,1,14781
Vistara,Kolkata,Banglore,385,1,9,6,17,0,23,25,09-06-2019,1,9870
Air India,Delhi,Cochin,570,1,27,5,13,30,23,0,27-05-2019,1,8907
Jet Airways,Banglore,New Delhi,530,1,1,3,22,50,7,40,01-03-2019,0,26890
GoAir,Delhi,Cochin,355,1,15,4,7,0,12,55,15-04-2019,0,6195
Jet Airways,Banglore,New Delhi,305,1,21,3,14,5,19,10,21-03-2019,1,7832
Multiple carriers Premium economy,Delhi,Cochin,395,1,21,3,8,55,15,30,21-03-2019,0,11269
Vistara,Banglore,New Delhi,155,0,24,3,16,0,18,35,24-03-2019,1,5613
IndiGo,Banglore,Delhi,175,0,1,5,0,30,3,25,01-05-2019,0,4284
Vistara,Banglore,Delhi,170,0,6,5,21,0,23,50,06-05-2019,1,4668
Air India,Delhi,Cochin,675,1,3,3,8,0,19,15,03-03-2019,0,15197
Jet Airways,Kolkata,Banglore,475,1,12,6,8,25,16,20,12-06-2019,0,9899
GoAir,Delhi,Cochin,540,1,27,6,10,35,19,35,27-06-2019,1,3948
Jet Airways,Banglore,New Delhi,1400,1,15,3,8,55,8,15,15-03-2019,0,10405
Multiple carriers,Delhi,Cochin,835,3,9,6,11,35,1,30,09-06-2019,1,15419
Multiple carriers,Delhi,Cochin,625,1,3,3,8,25,18,50,03-03-2019,0,15135
Multiple carriers Premium economy,Delhi,Cochin,395,1,21,3,6,0,12,35,21-03-2019,0,13369
Jet Airways,Delhi,Cochin,440,2,27,6,11,40,19,0,27-06-2019,1,18804
Air Asia,Delhi,Cochin,625,1,9,5,20,45,7,10,09-05-2019,1,6751
Air India,Kolkata,Banglore,745,1,9,5,20,30,8,55,09-05-2019,1,10203
Jet Airways,Banglore,New Delhi,860,1,1,3,7,0,21,20,01-03-2019,0,27992
Air India,Delhi,Cochin,725,2,12,6,7,10,19,15,12-06-2019,0,12488
Jet Airways,Banglore,Delhi,180,0,12,4,7,10,10,10,12-04-2019,0,5198
Jet Airways,Banglore,Delhi,180,0,1,5,17,45,20,45,01-05-2019,1,7229
Air India,Kolkata,Banglore,1045,2,12,6,5,50,23,15,12-06-2019,0,12723
Air India,Mumbai,Hyderabad,1630,2,6,3,6,0,9,10,06-03-2019,0,13169
Air India,Kolkata,Banglore,535,2,15,5,9,25,18,20,15-05-2019,1,8366
Multiple carriers,Delhi,Cochin,900,1,9,5,6,0,21,0,09-05-2019,0,7670
Jet Airways,Banglore,Delhi,165,0,1,4,6,0,8,45,01-04-2019,0,7229
Vistara,Banglore,Delhi,170,0,1,6,21,0,23,50,01-06-2019,1,4668
Air Asia,Delhi,Cochin,660,1,9,3,20,10,7,10,09-03-2019,1,8327
Jet Airways,Delhi,Cochin,940,1,21,5,20,55,12,35,21-05-2019,1,12898
IndiGo,Kolkata,Banglore,240,1,6,5,6,20,10,20,06-05-2019,0,4226
Jet Airways,Delhi,Cochin,1425,1,27,6,19,15,19,0,27-06-2019,1,10262
Multiple carriers,Delhi,Cochin,845,1,24,6,4,55,19,0,24-06-2019,0,10678
Air India,Delhi,Cochin,865,2,21,3,17,15,7,40,21-03-2019,1,8052
GoAir,Banglore,New Delhi,175,0,24,3,11,40,14,35,24-03-2019,1,3898
Air Asia,Kolkata,Banglore,155,0,12,6,10,20,12,55,12-06-2019,1,3807
IndiGo,Delhi,Cochin,705,1,3,6,9,15,21,0,03-06-2019,1,6838
Jet Airways,Delhi,Cochin,810,2,24,6,5,30,19,0,24-06-2019,0,13014
IndiGo,Kolkata,Banglore,150,0,12,4,14,25,16,55,12-04-2019,1,5224
Multiple carriers,Delhi,Cochin,750,1,6,6,13,0,1,30,06-06-2019,1,13377
GoAir,Delhi,Cochin,355,1,21,5,7,0,12,55,21-05-2019,0,6633
Air Asia,Kolkata,Banglore,955,1,24,5,7,35,23,30,24-05-2019,0,5192
IndiGo,Banglore,Delhi,170,0,18,4,22,10,1,0,18-04-2019,0,4591
Air India,Kolkata,Banglore,155,0,12,5,20,45,23,20,12-05-2019,1,4880
Jet Airways,Banglore,Delhi,180,0,27,4,17,45,20,45,27-04-2019,1,7229
Jet Airways,Delhi,Cochin,520,1,9,5,19,45,4,25,09-05-2019,1,12373
Air India,Delhi,Cochin,180,0,27,4,14,10,17,10,27-04-2019,1,6094
Jet Airways,Delhi,Cochin,940,1,12,6,20,55,12,35,12-06-2019,1,10262
Jet Airways,Delhi,Cochin,440,2,9,4,11,40,19,0,09-04-2019,1,15439
IndiGo,Banglore,Delhi,170,0,6,5,23,30,2,20,06-05-2019,0,4077
GoAir,Banglore,Delhi,165,0,18,5,20,55,23,40,18-05-2019,1,4632
Jet Airways,Kolkata,Banglore,505,1,6,6,9,35,18,0,06-06-2019,1,12692
IndiGo,Kolkata,Banglore,265,1,24,4,19,20,23,45,24-04-2019,1,3480
Multiple carriers,Delhi,Cochin,460,2,18,5,17,50,1,30,18-05-2019,1,19360
Jet Airways,Banglore,New Delhi,1235,1,15,3,11,40,8,15,15-03-2019,1,9134
Multiple carriers,Delhi,Cochin,420,1,24,6,14,0,21,0,24-06-2019,1,13587
Jet Airways,Delhi,Cochin,1530,1,9,5,17,30,19,0,09-05-2019,1,15554
Jet Airways,Banglore,New Delhi,160,0,9,3,19,55,22,35,09-03-2019,1,7229
IndiGo,Delhi,Cochin,825,1,6,3,8,35,22,20,06-03-2019,0,7514
Multiple carriers,Delhi,Cochin,780,1,6,6,8,0,21,0,06-06-2019,0,13587
Jet Airways,Banglore,Delhi,180,0,9,6,7,10,10,10,09-06-2019,0,7229
Jet Airways,Delhi,Cochin,1570,1,1,6,2,15,4,25,01-06-2019,0,10262
IndiGo,Delhi,Cochin,810,1,3,3,7,30,21,0,03-03-2019,0,14871
Multiple carriers,Delhi,Cochin,615,1,27,5,8,45,19,0,27-05-2019,0,10529
IndiGo,Delhi,Cochin,895,1,12,6,7,35,22,30,12-06-2019,0,6442
IndiGo,Kolkata,Banglore,290,1,21,5,15,15,20,5,21-05-2019,1,5170
IndiGo,Delhi,Cochin,895,1,15,5,7,35,22,30,15-05-2019,0,6442
IndiGo,Banglore,Delhi,175,0,27,5,0,30,3,25,27-05-2019,0,3419
Jet Airways,Banglore,New Delhi,830,1,6,3,20,35,10,25,06-03-2019,1,17261
SpiceJet,Chennai,Kolkata,135,0,24,6,8,20,10,35,24-06-2019,0,3543
Air Asia,Banglore,Delhi,165,0,12,5,11,10,13,55,12-05-2019,1,3383
Air India,Delhi,Cochin,1275,2,24,6,22,0,19,15,24-06-2019,0,9181
Jet Airways,Banglore,New Delhi,990,1,12,3,18,55,11,25,12-03-2019,1,11087
Jet Airways,Banglore,Delhi,180,0,18,4,7,10,10,10,18-04-2019,0,7229
Multiple carriers,Delhi,Cochin,870,1,9,3,4,45,19,15,09-03-2019,0,11249
Jet Airways,Banglore,New Delhi,960,1,6,3,7,0,23,0,06-03-2019,0,16736
Jet Airways,Delhi,Cochin,655,1,24,6,17,30,4,25,24-06-2019,1,10262
Jet Airways,Delhi,Cochin,300,1,1,6,14,0,19,0,01-06-2019,1,10262
Jet Airways,Mumbai,Hyderabad,85,0,15,5,2,55,4,20,15-05-2019,0,5678
Multiple carriers,Delhi,Cochin,390,1,21,3,9,0,15,30,21-03-2019,1,8307
Air India,Delhi,Cochin,965,1,18,5,17,20,9,25,18-05-2019,1,7690
Jet Airways,Delhi,Cochin,1390,2,18,5,13,25,12,35,18-05-2019,1,16704
Air India,Delhi,Cochin,1660,1,9,3,4,0,7,40,09-03-2019,0,10315
Jet Airways,Delhi,Cochin,1615,2,27,5,9,40,12,35,27-05-2019,1,15129
Air India,Kolkata,Banglore,1555,1,24,3,7,0,8,55,24-03-2019,0,12173
Air India,Kolkata,Banglore,965,1,3,4,19,0,11,5,03-04-2019,1,4227
IndiGo,Banglore,Delhi,165,0,12,6,6,5,8,50,12-06-2019,0,3943
Jet Airways,Banglore,Delhi,175,0,1,6,11,10,14,5,01-06-2019,1,7229
Vistara,Kolkata,Banglore,790,1,15,5,7,10,20,20,15-05-2019,0,8610
IndiGo,Banglore,New Delhi,175,0,9,3,7,10,10,5,09-03-2019,0,7303
Jet Airways,Banglore,New Delhi,780,1,18,3,18,40,7,40,18-03-2019,1,10972
Multiple carriers,Delhi,Cochin,640,1,18,5,10,20,21,0,18-05-2019,1,7670
Air India,Delhi,Cochin,555,1,15,5,10,0,19,15,15-05-2019,1,8372
IndiGo,Delhi,Cochin,630,1,1,6,15,0,1,30,01-06-2019,1,6628
Jet Airways,Delhi,Cochin,1415,1,9,6,13,0,12,35,09-06-2019,1,10262
Jet Airways,Kolkata,Banglore,1010,1,24,5,16,30,9,20,24-05-2019,1,14178
Jet Airways,Delhi,Cochin,820,2,27,3,5,10,18,50,27-03-2019,0,8518
Jet Airways,Delhi,Cochin,1320,2,24,6,14,35,12,35,24-06-2019,1,13376
Vistara,Kolkata,Banglore,1065,1,12,6,17,0,10,45,12-06-2019,1,8452
Jet Airways,Delhi,Cochin,620,1,24,6,2,15,12,35,24-06-2019,0,18371
SpiceJet,Mumbai,Hyderabad,90,0,3,4,13,15,14,45,03-04-2019,1,1965
Jet Airways,Delhi,Cochin,1025,2,1,6,19,30,12,35,01-06-2019,1,10368
Jet Airways,Kolkata,Banglore,1295,1,6,5,20,25,18,0,06-05-2019,1,11467
Jet Airways,Kolkata,Banglore,730,1,9,5,16,30,4,40,09-05-2019,1,14781
Air India,Mumbai,Hyderabad,780,1,6,3,20,15,9,15,06-03-2019,1,9535
Air India,Mumbai,Hyderabad,80,0,3,4,21,5,22,25,03-04-2019,1,2050
Jet Airways,Delhi,Cochin,535,2,12,6,19,30,4,25,12-06-2019,1,10368
Jet Airways,Kolkata,Banglore,850,1,24,3,8,25,22,35,24-03-2019,0,10031
SpiceJet,Kolkata,Banglore,145,0,21,4,9,0,11,25,21-04-2019,1,4491
Jet Airways,Banglore,Delhi,180,0,15,5,17,45,20,45,15-05-2019,1,7229
SpiceJet,Banglore,New Delhi,475,1,3,3,10,20,18,15,03-03-2019,1,11401
IndiGo,Chennai,Kolkata,140,0,27,6,14,45,17,5,27-06-2019,1,3597
Vistara,Kolkata,Banglore,965,1,12,6,17,0,9,5,12-06-2019,1,7927
SpiceJet,Kolkata,Banglore,145,0,1,5,9,0,11,25,01-05-2019,1,4174
Air India,Kolkata,Banglore,555,1,1,5,7,0,16,15,01-05-2019,0,10203
Vistara,Kolkata,Banglore,790,1,9,5,7,10,20,20,09-05-2019,0,8610
Jet Airways,Banglore,Delhi,175,0,12,6,15,15,18,10,12-06-2019,1,5769
IndiGo,Kolkata,Banglore,155,0,1,5,11,30,14,5,01-05-2019,1,5644
Jet Airways,Banglore,Delhi,180,0,3,6,7,10,10,10,03-06-2019,0,5769
Jet Airways,Banglore,Delhi,165,0,15,5,6,0,8,45,15-05-2019,0,7229
IndiGo,Kolkata,Banglore,240,1,9,6,6,20,10,20,09-06-2019,0,4226
IndiGo,Banglore,New Delhi,300,1,9,3,12,5,17,5,09-03-2019,1,4588
Jet Airways,Mumbai,Hyderabad,90,0,21,5,10,20,11,50,21-05-2019,1,4995
Jet Airways,Delhi,Cochin,1145,1,1,4,17,30,12,35,01-04-2019,1,5406
SpiceJet,Kolkata,Banglore,150,0,24,6,17,10,19,40,24-06-2019,1,3873
Jet Airways,Delhi,Cochin,440,1,6,3,11,30,18,50,06-03-2019,1,17024
SpiceJet,Delhi,Cochin,270,1,9,6,8,45,13,15,09-06-2019,0,5158
Jet Airways,Mumbai,Hyderabad,90,0,1,5,10,20,11,50,01-05-2019,1,8040
Jet Airways,Kolkata,Banglore,635,1,18,5,5,45,16,20,18-05-2019,0,10844
Air India,Chennai,Kolkata,135,0,12,5,11,40,13,55,12-05-2019,1,4667
Jet Airways,Mumbai,Hyderabad,90,0,3,4,19,35,21,5,03-04-2019,1,5678
Air India,Kolkata,Banglore,875,2,12,5,5,50,20,25,12-05-2019,0,12513
Jet Airways,Banglore,Delhi,180,0,27,6,7,10,10,10,27-06-2019,0,8016
SpiceJet,Chennai,Kolkata,140,0,1,6,17,45,20,5,01-06-2019,1,3543
Jet Airways,Delhi,Cochin,655,1,21,3,17,30,4,25,21-03-2019,1,5963
Jet Airways,Kolkata,Banglore,475,1,18,5,8,25,16,20,18-05-2019,0,14781
Jet Airways,Delhi,Cochin,1655,1,18,5,9,0,12,35,18-05-2019,1,12373
Jet Airways,Mumbai,Hyderabad,90,0,1,6,19,35,21,5,01-06-2019,1,3210
Jet Airways,Banglore,New Delhi,760,1,15,3,5,45,18,25,15-03-2019,0,9134
Jet Airways,Delhi,Cochin,830,2,6,6,14,35,4,25,06-06-2019,1,10919
IndiGo,Mumbai,Hyderabad,90,0,1,5,9,10,10,40,01-05-2019,1,4575
IndiGo,Delhi,Cochin,195,0,15,6,5,35,8,50,15-06-2019,0,5601
Jet Airways,Kolkata,Banglore,395,1,18,5,17,0,23,35,18-05-2019,1,14151
Air India,Kolkata,Banglore,1195,2,6,5,12,0,7,55,06-05-2019,1,10151
Vistara,Banglore,Delhi,170,0,18,4,9,45,12,35,18-04-2019,1,5403
IndiGo,Delhi,Cochin,345,1,27,5,2,0,7,45,27-05-2019,0,6147
IndiGo,Kolkata,Banglore,150,0,27,6,14,25,16,55,27-06-2019,1,4804
Multiple carriers,Delhi,Cochin,620,1,27,3,8,55,19,15,27-03-2019,0,8371
Jet Airways,Delhi,Cochin,535,2,9,6,19,30,4,25,09-06-2019,1,13014
Air Asia,Banglore,Delhi,170,0,24,5,4,55,7,45,24-05-2019,0,3383
SpiceJet,Chennai,Kolkata,140,0,6,3,17,45,20,5,06-03-2019,1,7298
Jet Airways,Banglore,Delhi,180,0,3,4,7,10,10,10,03-04-2019,0,4544
Multiple carriers,Delhi,Cochin,395,1,6,3,8,55,15,30,06-03-2019,0,15147
Multiple carriers,Delhi,Cochin,900,1,9,3,4,45,19,45,09-03-2019,0,10782
IndiGo,Delhi,Cochin,290,1,15,5,15,10,20,0,15-05-2019,1,6027
Jet Airways,Delhi,Cochin,830,2,6,6,14,35,4,25,06-06-2019,1,10919
Air India,Delhi,Cochin,1565,1,27,3,6,10,8,15,27-03-2019,0,6681
IndiGo,Banglore,Delhi,170,0,24,6,23,30,2,20,24-06-2019,0,3943
Jet Airways,Delhi,Cochin,885,1,27,5,21,50,12,35,27-05-2019,1,12898
IndiGo,Delhi,Cochin,415,1,6,6,18,35,1,30,06-06-2019,1,6628
Air India,Delhi,Cochin,1590,1,3,4,20,30,23,0,03-04-2019,1,5022
Air India,Delhi,Cochin,1470,2,3,6,7,10,7,40,03-06-2019,0,12698
Air Asia,Delhi,Cochin,625,1,9,6,20,45,7,10,09-06-2019,1,10794
IndiGo,Delhi,Cochin,575,1,9,6,11,25,21,0,09-06-2019,1,6416
SpiceJet,Kolkata,Banglore,140,0,9,3,22,20,0,40,09-03-2019,0,4622
IndiGo,Banglore,Delhi,170,0,27,5,13,0,15,50,27-05-2019,1,3943
Air Asia,Kolkata,Banglore,150,0,6,6,19,55,22,25,06-06-2019,1,4508
Vistara,Kolkata,Banglore,930,1,12,6,7,10,22,40,12-06-2019,0,8452
Air India,Kolkata,Banglore,970,2,12,5,16,45,8,55,12-05-2019,1,13437
Vistara,Chennai,Kolkata,140,0,18,5,17,45,20,5,18-05-2019,1,11982
Jet Airways,Kolkata,Banglore,1025,1,24,5,18,55,12,0,24-05-2019,1,10844
Jet Airways,Delhi,Cochin,1125,2,9,5,9,40,4,25,09-05-2019,1,15129
Jet Airways,Delhi,Cochin,300,1,27,6,14,0,19,0,27-06-2019,1,14714
IndiGo,Delhi,Cochin,860,1,27,6,6,40,21,0,27-06-2019,0,6093
IndiGo,Delhi,Cochin,505,1,6,4,4,55,13,20,06-04-2019,0,5307
GoAir,Delhi,Cochin,310,1,15,5,14,25,19,35,15-05-2019,1,10188
Jet Airways,Kolkata,Banglore,735,1,6,6,20,0,8,15,06-06-2019,1,14571
Jet Airways,Delhi,Cochin,555,2,27,3,19,10,4,25,27-03-2019,1,10976
Jet Airways,Kolkata,Banglore,590,1,24,5,6,30,16,20,24-05-2019,0,10844
IndiGo,Kolkata,Banglore,155,0,9,4,20,20,22,55,09-04-2019,1,4488
Air India,Delhi,Cochin,1215,1,24,5,23,0,19,15,24-05-2019,0,8582
Jet Airways,Delhi,Cochin,1010,1,24,6,19,45,12,35,24-06-2019,1,10262
Vistara,Kolkata,Banglore,1065,1,6,5,17,0,10,45,06-05-2019,1,8662
IndiGo,Banglore,New Delhi,165,0,24,3,6,0,8,45,24-03-2019,0,4777
Jet Airways,Mumbai,Hyderabad,90,0,27,3,15,50,17,20,27-03-2019,1,2071
Jet Airways,Banglore,New Delhi,980,1,12,3,22,55,15,15,12-03-2019,0,11087
Air India,Banglore,Delhi,170,0,18,4,21,5,23,55,18-04-2019,1,5228
Jet Airways,Kolkata,Banglore,590,1,1,4,6,30,16,20,01-04-2019,0,12996
Jet Airways,Banglore,New Delhi,900,1,6,3,8,0,23,0,06-03-2019,0,16736
Jet Airways,Kolkata,Banglore,910,1,1,5,18,55,10,5,01-05-2019,1,13941
Air India,Banglore,New Delhi,500,1,15,3,13,50,22,10,15-03-2019,1,9166
Air India,Delhi,Cochin,1535,1,3,3,5,15,6,50,03-03-2019,0,12677
Air India,Chennai,Kolkata,135,0,24,3,11,40,13,55,24-03-2019,1,4405
Jet Airways,Kolkata,Banglore,840,1,6,5,9,35,23,35,06-05-2019,1,12121
Air India,Banglore,Delhi,170,0,6,6,21,5,23,55,06-06-2019,1,6121
Jet Airways,Kolkata,Banglore,1495,1,18,5,8,25,9,20,18-05-2019,0,14388
Jet Airways,Kolkata,Banglore,870,1,1,4,20,25,10,55,01-04-2019,1,11467
Jet Airways,Banglore,New Delhi,780,1,12,3,21,25,10,25,12-03-2019,1,13817
Air India,Mumbai,Hyderabad,75,0,6,5,19,30,20,45,06-05-2019,1,3100
Multiple carriers,Delhi,Cochin,455,1,21,5,11,40,19,15,21-05-2019,1,8266
Jet Airways,Kolkata,Banglore,1660,1,24,3,19,45,23,25,24-03-2019,1,13759
IndiGo,Banglore,Delhi,170,0,9,6,0,25,3,15,09-06-2019,0,3943
Multiple carriers,Delhi,Cochin,440,1,27,3,18,15,1,35,27-03-2019,1,12327
IndiGo,Mumbai,Hyderabad,90,0,12,6,6,25,7,55,12-06-2019,0,4049
SpiceJet,Banglore,Delhi,175,0,1,6,21,10,0,5,01-06-2019,1,3573
Air Asia,Kolkata,Banglore,150,0,15,5,19,55,22,25,15-05-2019,1,4409
Air India,Delhi,Cochin,1580,2,27,3,7,5,9,25,27-03-2019,0,6565
IndiGo,Kolkata,Banglore,160,0,15,4,21,25,0,5,15-04-2019,1,4174
Jet Airways,Banglore,Delhi,180,0,24,5,7,10,10,10,24-05-2019,0,4030
Air Asia,Kolkata,Banglore,155,0,21,3,10,20,12,55,21-03-2019,1,4082
Air India,Kolkata,Banglore,1555,2,24,5,9,10,11,5,24-05-2019,1,6117
Jet Airways,Banglore,New Delhi,390,1,21,3,5,50,12,20,21-03-2019,0,6163
Jet Airways,Delhi,Cochin,745,1,27,3,16,0,4,25,27-03-2019,1,6540
SpiceJet,Kolkata,Banglore,315,1,12,5,15,5,20,20,12-05-2019,1,4649
Jet Airways,Delhi,Cochin,1270,1,9,6,21,50,19,0,09-06-2019,1,10262
Vistara,Banglore,Delhi,165,0,6,4,19,30,22,15,06-04-2019,1,5613
IndiGo,Banglore,New Delhi,180,0,24,3,8,30,11,30,24-03-2019,0,6144
Jet Airways,Kolkata,Banglore,1745,1,12,5,17,0,22,5,12-05-2019,1,13067
Vistara,Banglore,New Delhi,175,0,3,3,21,10,0,5,03-03-2019,1,7608
Multiple carriers,Delhi,Cochin,930,1,9,6,10,0,1,30,09-06-2019,1,7198
Jet Airways,Kolkata,Banglore,425,1,15,5,16,30,23,35,15-05-2019,1,13941
Jet Airways,Delhi,Cochin,1125,2,9,6,9,40,4,25,09-06-2019,1,10368
SpiceJet,Chennai,Kolkata,135,0,27,6,8,20,10,35,27-06-2019,0,3543
IndiGo,Kolkata,Banglore,160,0,27,3,20,25,23,5,27-03-2019,1,4462
Air India,Kolkata,Banglore,470,2,24,3,5,50,13,40,24-03-2019,0,8005
Jet Airways,Kolkata,Banglore,1660,1,1,4,18,55,22,35,01-04-2019,1,7064
Jet Airways,Kolkata,Banglore,1480,1,1,5,20,25,21,5,01-05-2019,1,12121
Air India,Delhi,Cochin,435,2,9,5,12,0,19,15,09-05-2019,1,8918
Air India,Kolkata,Banglore,745,1,12,5,9,25,21,50,12-05-2019,1,8891
Air India,Kolkata,Banglore,375,1,1,5,10,0,16,15,01-05-2019,1,10203
Multiple carriers,Delhi,Cochin,480,1,15,5,13,0,21,0,15-05-2019,1,8073
IndiGo,Delhi,Cochin,370,1,3,3,16,10,22,20,03-03-2019,1,11237
Jet Airways,Delhi,Cochin,1300,2,12,6,6,45,4,25,12-06-2019,0,13376
Multiple carriers,Delhi,Cochin,920,1,9,6,7,10,22,30,09-06-2019,0,6513
Jet Airways,Kolkata,Banglore,585,1,24,5,18,55,4,40,24-05-2019,1,13731
Jet Airways,Kolkata,Banglore,1430,1,1,4,20,0,19,50,01-04-2019,1,7064
Jet Airways,Banglore,New Delhi,805,1,6,3,5,45,19,10,06-03-2019,0,16736
Jet Airways,Kolkata,Banglore,845,1,15,5,20,0,10,5,15-05-2019,1,8586
Multiple carriers,Delhi,Cochin,780,1,15,6,6,0,19,0,15-06-2019,0,11789
IndiGo,Kolkata,Banglore,155,0,24,5,11,30,14,5,24-05-2019,1,5224
IndiGo,Delhi,Cochin,195,0,15,5,21,5,0,20,15-05-2019,1,6834
IndiGo,Delhi,Cochin,570,1,15,6,16,0,1,30,15-06-2019,1,6316
Jet Airways,Delhi,Cochin,1925,2,21,3,10,45,18,50,21-03-2019,1,11869
Air Asia,Kolkata,Banglore,150,0,6,3,22,50,1,20,06-03-2019,0,4384
IndiGo,Kolkata,Banglore,150,0,21,4,14,25,16,55,21-04-2019,1,5644
Air India,Delhi,Cochin,1380,2,9,3,20,15,19,15,09-03-2019,1,19681
Multiple carriers,Delhi,Cochin,930,1,6,6,10,0,1,30,06-06-2019,1,13377
Multiple carriers,Delhi,Cochin,695,2,9,3,9,45,21,20,09-03-2019,1,10090
Jet Airways,Mumbai,Hyderabad,1380,2,6,3,17,50,16,50,06-03-2019,1,20845
Vistara,Banglore,Delhi,155,0,24,6,17,0,19,35,24-06-2019,1,4878
IndiGo,Mumbai,Hyderabad,90,0,1,6,21,20,22,50,01-06-2019,1,2227
IndiGo,Delhi,Cochin,515,1,18,5,7,35,16,10,18-05-2019,0,6442
SpiceJet,Banglore,Delhi,175,0,27,5,21,10,0,5,27-05-2019,1,3257
Jet Airways,Banglore,Delhi,165,0,15,6,6,0,8,45,15-06-2019,0,7229
Air India,Kolkata,Banglore,1035,2,1,5,20,30,13,45,01-05-2019,1,15164
IndiGo,Banglore,New Delhi,170,0,24,3,10,10,13,0,24-03-2019,1,10067
Air India,Delhi,Cochin,180,0,15,3,14,10,17,10,15-03-2019,1,5674
Jet Airways,Banglore,New Delhi,1220,1,1,3,14,5,10,25,01-03-2019,1,20800
IndiGo,Delhi,Cochin,940,1,18,5,6,50,22,30,18-05-2019,0,7144
